(-104, 3)
(-103, 1)
(-102, 10)
(-101, 46)
(-100, 857)
(-99, 93)
(-98, 117)
(-97, 117)
(-96, 130)
(-95, 131)
(-94, 178)
(-93, 200)
(-92, 228)
(-91, 214)
(-90, 259)
(-89, 291)
(-88, 282)
(-87, 352)
(-86, 433)
(-85, 472)
(-84, 445)
(-83, 583)
(-82, 924)
(-81, 618)
(-80, 684)
(-79, 688)
(-78, 759)
(-77, 830)
(-76, 821)
(-75, 854)
(-74, 921)
(-73, 953)
(-72, 1023)
(-71, 1157)
(-70, 1201)
(-69, 1258)
(-68, 1380)
(-67, 1389)
(-66, 1458)
(-65, 1705)
(-64, 1851)
(-63, 2060)
(-62, 2289)
(-61, 2202)
(-60, 2270)
(-59, 2564)
(-58, 2617)
(-57, 3007)
(-56, 3551)
(-55, 4948)
(-54, 6325)
(-53, 6784)
(-52, 8102)
(-51, 9931)
(-50, 85509)
(-49, 13068)
(-48, 14962)
(-47, 14486)
(-46, 14209)
(-45, 12702)
(-44, 11171)
(-43, 11851)
(-42, 13002)
(-41, 13894)
(-40, 15659)
(-39, 16097)
(-38, 15710)
(-37, 15953)
(-36, 16452)
(-35, 16690)
(-34, 16363)
(-33, 17650)
(-32, 21995)
(-31, 22100)
(-30, 20093)
(-29, 18950)
(-28, 19725)
(-27, 20293)
(-26, 20667)
(-25, 22915)
(-24, 27187)
(-23, 32183)
(-22, 26465)
(-21, 24523)
(-20, 25543)
(-19, 26342)
(-18, 28046)
(-17, 31601)
(-16, 37932)
(-15, 51770)
(-14, 40850)
(-13, 37656)
(-12, 39843)
(-11, 40103)
(-10, 43469)
(-9, 56482)
(-8, 82961)
(-7, 123626)
(-6, 70520)
(-5, 69420)
(-4, 77495)
(-3, 87536)
(-2, 129868)
(-1, 145174)
(1, 1239627)
(2, 288320)
(3, 145702)
(4, 89953)
(5, 44345)
(6, 39272)
(7, 20659)
(8, 18937)
(9, 10841)
(10, 10704)
(11, 6058)
(12, 6567)
(13, 3706)
(14, 4047)
(15, 2294)
(16, 1961)
(17, 1694)
(18, 1152)
(19, 972)
(20, 789)
(21, 636)
(22, 566)
(23, 464)
(24, 410)
(25, 323)
(26, 335)
(27, 260)
(28, 207)
(29, 224)
(30, 217)
(31, 169)
(32, 143)
(33, 130)
(34, 121)
(35, 95)
(36, 73)
(37, 74)
(38, 57)
(39, 50)
(40, 67)
(41, 46)
(42, 53)
(43, 48)
(44, 50)
(45, 65)
(46, 42)
(47, 22)
(48, 26)
(49, 24)
(50, 24)
(51, 26)
(52, 15)
(53, 23)
(54, 28)
(55, 19)
(56, 23)
(57, 22)
(58, 13)
(59, 20)
(60, 23)
(61, 17)
(62, 13)
(63, 12)
(64, 7)
(65, 10)
(66, 6)
(67, 4)
(68, 4)
(69, 9)
(70, 6)
(71, 8)
(72, 4)
(73, 8)
(74, 4)
(75, 4)
(76, 3)
(77, 3)
(78, 8)
(79, 2)
(80, 8)
(81, 5)
(82, 8)
(83, 2)
(84, 6)
(85, 2)
(86, 6)
(87, 7)
(88, 2)
(89, 4)
(90, 3)
(91, 1)
(92, 5)
(93, 2)
(94, 2)
(98, 1)
(99, 1)
(107, 1)
(125, 1)
(128, 1)
(135, 2)
(140, 1)
(142, 1)
(172, 1)
(231, 1)
