(-108, 1)
(-107, 2)
(-105, 2)
(-104, 3)
(-103, 14)
(-102, 13)
(-101, 52)
(-100, 693)
(-99, 76)
(-98, 87)
(-97, 105)
(-96, 108)
(-95, 125)
(-94, 117)
(-93, 160)
(-92, 154)
(-91, 171)
(-90, 184)
(-89, 213)
(-88, 212)
(-87, 287)
(-86, 291)
(-85, 304)
(-84, 339)
(-83, 436)
(-82, 598)
(-81, 469)
(-80, 531)
(-79, 572)
(-78, 586)
(-77, 654)
(-76, 683)
(-75, 697)
(-74, 759)
(-73, 849)
(-72, 916)
(-71, 956)
(-70, 1113)
(-69, 1081)
(-68, 1145)
(-67, 1202)
(-66, 1258)
(-65, 1494)
(-64, 1637)
(-63, 1902)
(-62, 2106)
(-61, 2030)
(-60, 2241)
(-59, 2499)
(-58, 2671)
(-57, 2890)
(-56, 3628)
(-55, 4749)
(-54, 6305)
(-53, 6748)
(-52, 7753)
(-51, 9984)
(-50, 87495)
(-49, 12697)
(-48, 15926)
(-47, 14637)
(-46, 13958)
(-45, 12118)
(-44, 11080)
(-43, 12076)
(-42, 13367)
(-41, 13903)
(-40, 15256)
(-39, 16363)
(-38, 15992)
(-37, 15835)
(-36, 15975)
(-35, 16540)
(-34, 17286)
(-33, 18645)
(-32, 22543)
(-31, 23536)
(-30, 21524)
(-29, 19925)
(-28, 20119)
(-27, 20745)
(-26, 21385)
(-25, 23720)
(-24, 28649)
(-23, 35098)
(-22, 27320)
(-21, 25418)
(-20, 26511)
(-19, 27346)
(-18, 29010)
(-17, 33263)
(-16, 41394)
(-15, 55325)
(-14, 42721)
(-13, 37416)
(-12, 39279)
(-11, 41128)
(-10, 43794)
(-9, 59236)
(-8, 88518)
(-7, 131994)
(-6, 68280)
(-5, 69486)
(-4, 78521)
(-3, 91978)
(-2, 136319)
(-1, 146688)
(1, 1256894)
(2, 310061)
(3, 149356)
(4, 96004)
(5, 47151)
(6, 40736)
(7, 21445)
(8, 19512)
(9, 10962)
(10, 10506)
(11, 6203)
(12, 6307)
(13, 3589)
(14, 3858)
(15, 2131)
(16, 1863)
(17, 1404)
(18, 1273)
(19, 927)
(20, 832)
(21, 615)
(22, 557)
(23, 517)
(24, 354)
(25, 286)
(26, 245)
(27, 209)
(28, 222)
(29, 185)
(30, 147)
(31, 144)
(32, 114)
(33, 114)
(34, 91)
(35, 86)
(36, 62)
(37, 73)
(38, 61)
(39, 54)
(40, 60)
(41, 56)
(42, 43)
(43, 32)
(44, 33)
(45, 28)
(46, 20)
(47, 25)
(48, 28)
(49, 27)
(50, 23)
(51, 24)
(52, 15)
(53, 15)
(54, 18)
(55, 20)
(56, 14)
(57, 9)
(58, 11)
(59, 13)
(60, 9)
(61, 12)
(62, 9)
(63, 9)
(64, 8)
(65, 11)
(66, 9)
(67, 8)
(68, 6)
(69, 1)
(70, 6)
(71, 7)
(72, 6)
(73, 1)
(74, 3)
(75, 6)
(76, 8)
(77, 2)
(78, 5)
(79, 1)
(80, 4)
(81, 5)
(82, 5)
(83, 2)
(84, 5)
(85, 5)
(86, 9)
(87, 3)
(88, 1)
(89, 1)
(91, 1)
(92, 2)
(95, 1)
(97, 1)
(98, 1)
(100, 2)
(101, 3)
(104, 1)
(105, 2)
(107, 2)
(108, 3)
(110, 2)
(113, 2)
(114, 1)
(115, 1)
(117, 1)
(123, 1)
(127, 1)
(132, 2)
(133, 2)
(134, 3)
(137, 1)
(139, 1)
(140, 1)
(172, 1)
(175, 1)
(176, 1)
(257, 1)
(266, 1)
(415, 1)
